WASP-12b	1.800	 1.400	2900.0	0.0230	1.434	27.580	28.350
GJ3470b	0.370	 0.044	 650.0	0.0360	0.510	27.630	28.370
WASP-80b	0.950	 0.550	 800.0	0.0340	0.580	27.850	28.460
HD149026b	0.650	 0.360	1440.0	0.0430	1.300	28.600	28.800
HAT-P-11b	0.420	 0.083	 850.0	0.0530	0.809	27.550	28.330
HD209458b	1.400	 0.690	1320.0	0.0470	1.148	26.400	27.840
55Cnce	0.190	 0.026	1950.0	0.0150	1.015	26.650	27.660
GJ1214b	0.240	 0.020	 550.0	0.0140	0.150	25.910	26.610
GJ436b	0.380	 0.073	 650.0	0.0290	0.452	25.960	27.140
HD189733b	1.100	 1.100	1200.0	0.0310	0.800	28.180	28.610
HD97658b	0.210	 0.025	 750.0	0.0800	0.850	27.220	28.190
WASP-77b	1.200	 1.800	1650.0	0.0240	1.002	28.130	28.590
WASP-43b	0.930	 1.800	1350.0	0.0140	0.717	27.880	28.480
Corot2b	1.500	 3.300	1550.0	0.0280	0.970	29.320	29.130
WASP-8b	1.000	 2.200	 950.0	0.0800	1.033	28.450	28.730
WASP-10b	1.100	 3.200	 950.0	0.0380	0.710	28.090	28.570
HAT-P-2b	1.200	 8.900	1700.0	0.0680	1.340	28.910	28.940
HAT-P-20b	0.870	 7.300	 950.0	0.0360	0.756	28.000	28.530
WASP-38b	1.100	 2.700	1250.0	0.0760	1.216	28.040	28.550
WASP-18b	1.300	10.200	2400.0	0.0200	1.240	26.820	28.020
55Cncb	1.466	 0.840	 700.0	0.1130	1.015	26.650	27.060
